URN,LA,Estab,SCHOOLTYPE,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCLF,NUMFSM,NUMFSMEVER,NORFSMEVER,PNUMFSMEVER
117440,919,3348,State-funded primary,169,88,81,52.07%,47.93%,5,2.96%,19,11.24%,6,163,0,3.60%,96.40%,0,20,20,169,11.83%
117441,919,3349,State-funded primary,206,97,109,47.09%,52.91%,8,3.88%,14,6.80%,6,200,0,2.90%,97.10%,0,24,24,190,12.63%
117442,919,3350,State-funded primary,233,103,130,44.21%,55.79%,11,4.72%,28,12.02%,20,213,0,8.60%,91.40%,0,24,24,209,11.48%
117443,919,3352,State-funded primary,102,59,43,57.84%,42.16%,1,0.98%,9,8.82%,9,93,0,8.80%,91.20%,0,9,9,102,8.82%
117444,919,3353,State-funded primary,223,111,112,49.78%,50.22%,3,1.35%,14,6.28%,8,214,1,3.60%,96.00%,0.004,21,23,200,11.50%
117445,919,3357,State-funded primary,166,85,81,51.20%,48.80%,4,2.41%,29,17.47%,4,162,0,2.40%,97.60%,0,33,32,145,22.07%
117446,919,3358,State-funded primary,79,34,45,43.04%,56.96%,0,0.00%,27,34.18%,14,64,1,17.70%,81.00%,0.013,13,13,79,16.46%
117448,919,3360,State-funded primary,247,122,125,49.39%,50.61%,8,3.24%,31,12.55%,33,214,0,13.40%,86.60%,0,23,22,214,10.28%
117449,919,3361,State-funded primary,177,90,87,50.85%,49.15%,5,2.82%,7,3.95%,37,140,0,20.90%,79.10%,0,7,7,177,3.95%
117451,919,3363,State-funded primary,198,108,90,54.55%,45.45%,7,3.54%,22,11.11%,22,176,0,11.10%,88.90%,0,18,19,198,9.60%
117452,919,3364,State-funded primary,147,66,81,44.90%,55.10%,7,4.76%,20,13.61%,17,130,0,11.60%,88.40%,0,30,30,129,23.26%
117453,919,3366,State-funded primary,55,32,23,58.18%,41.82%,5,9.09%,9,16.36%,3,52,0,5.50%,94.50%,0,10,12,48,25.00%
117455,919,3368,State-funded primary,74,38,36,51.35%,48.65%,3,4.05%,10,13.51%,0,74,0,0.00%,100.00%,0,5,7,68,10.29%
117456,919,3369,State-funded primary,212,96,116,45.28%,54.72%,9,4.25%,37,17.45%,86,126,0,40.60%,59.40%,0,39,40,196,20.41%
117457,919,3370,State-funded primary,165,74,91,44.85%,55.15%,5,3.03%,14,8.48%,8,157,0,4.80%,95.20%,0,18,19,165,11.52%
117458,919,3371,State-funded primary,243,107,136,44.03%,55.97%,6,2.47%,33,13.58%,13,230,0,5.30%,94.70%,0,32,32,243,13.17%
117459,919,3373,State-funded primary,140,71,69,50.71%,49.29%,7,5.00%,19,13.57%,9,131,0,6.40%,93.60%,0,24,23,126,18.25%
117460,919,3376,State-funded primary,220,97,123,44.09%,55.91%,9,4.09%,25,11.36%,14,206,0,6.40%,93.60%,0,23,23,203,11.33%
117461,919,3378,State-funded primary,190,99,91,52.11%,47.89%,7,3.68%,25,13.16%,19,171,0,10.00%,90.00%,0,32,32,190,16.84%
117462,919,3379,State-funded primary,187,92,95,49.20%,50.80%,4,2.14%,25,13.37%,8,179,0,4.30%,95.70%,0,15,15,187,8.02%
117463,919,3380,State-funded primary,107,55,52,51.40%,48.60%,5,4.67%,15,14.02%,0,107,0,0.00%,100.00%,0,12,12,107,11.21%
117464,919,3382,State-funded primary,208,101,107,48.56%,51.44%,4,1.92%,14,6.73%,42,166,0,20.20%,79.80%,0,39,39,200,19.50%
117465,919,3383,State-funded primary,242,120,122,49.59%,50.41%,4,1.65%,77,31.82%,101,141,0,41.70%,58.30%,0,30,31,210,14.76%
117466,919,3384,State-funded primary,207,99,108,47.83%,52.17%,12,5.80%,23,11.11%,71,136,0,34.30%,65.70%,0,30,32,207,15.46%
117467,919,3385,State-funded primary,253,137,116,54.15%,45.85%,4,1.58%,20,7.91%,32,213,8,12.60%,84.20%,0.032,17,18,212,8.49%
117469,919,3388,State-funded primary,462,219,243,47.40%,52.60%,20,4.33%,75,16.23%,269,193,0,58.20%,41.80%,0,102,105,419,25.06%
117470,919,3389,State-funded primary,204,108,96,52.94%,47.06%,3,1.47%,17,8.33%,45,159,0,22.10%,77.90%,0,20,21,186,11.29%
117472,919,3393,State-funded primary,206,95,111,46.12%,53.88%,10,4.85%,26,12.62%,53,153,0,25.70%,74.30%,0,20,21,192,10.94%
117473,919,3394,State-funded primary,323,154,169,47.68%,52.32%,11,3.41%,50,15.48%,44,278,1,13.60%,86.10%,0.003,53,54,293,18.43%
117474,919,3397,State-funded primary,233,134,99,57.51%,42.49%,4,1.72%,27,11.59%,69,164,0,29.60%,70.40%,0,17,17,210,8.10%
117478,919,3401,State-funded primary,234,121,113,51.71%,48.29%,5,2.14%,12,5.13%,38,196,0,16.20%,83.80%,0,9,10,204,4.90%
117481,919,3404,State-funded primary,216,114,102,52.78%,47.22%,8,3.70%,22,10.19%,39,177,0,18.10%,81.90%,0,36,37,197,18.78%
117488,919,3415,State-funded primary,351,176,175,50.14%,49.86%,10,2.85%,43,12.25%,66,285,0,18.80%,81.20%,0,19,20,318,6.29%
117490,919,3419,State-funded primary,415,197,218,47.47%,52.53%,13,3.13%,54,13.01%,27,388,0,6.50%,93.50%,0,32,35,415,8.43%
117491,919,3421,State-funded primary,432,222,210,51.39%,48.61%,6,1.39%,55,12.73%,113,319,0,26.20%,73.80%,0,29,29,398,7.29%
117492,919,3423,State-funded primary,190,94,96,49.47%,50.53%,12,6.32%,22,11.58%,49,141,0,25.80%,74.20%,0,43,45,182,24.73%
117495,919,3428,State-funded primary,455,231,224,50.77%,49.23%,4,0.88%,73,16.04%,307,148,0,67.50%,32.50%,0,48,48,420,11.43%
117496,919,3975,State-funded primary,211,96,115,45.50%,54.50%,5,2.37%,20,9.48%,32,179,0,15.20%,84.80%,0,17,17,211,8.06%
117497,919,3976,State-funded primary,157,81,76,51.59%,48.41%,4,2.55%,22,14.01%,46,111,0,29.30%,70.70%,0,45,49,157,31.21%
117498,919,3977,State-funded primary,428,199,229,46.50%,53.50%,13,3.04%,44,10.28%,150,278,0,35.00%,65.00%,0,40,40,397,10.08%
117499,919,4000,State-funded secondary,1242,602,640,48.47%,51.53%,49,3.95%,213,17.15%,83,1159,0,6.70%,93.30%,0,248,237,981,24.16%
117504,919,4010,State-funded secondary,601,290,311,48.25%,51.75%,24,3.99%,73,12.15%,63,538,0,10.50%,89.50%,0,213,213,542,39.30%
117518,919,4066,State-funded secondary,1315,673,642,51.18%,48.82%,60,4.56%,238,18.10%,191,1120,4,14.50%,85.20%,0.003,371,369,1227,30.07%
117530,919,4104,State-funded secondary,1490,761,729,51.07%,48.93%,35,2.35%,284,19.06%,208,1257,25,14.00%,84.40%,0.017,259,238,1194,19.93%
117534,919,4116,State-funded secondary,1410,694,716,49.22%,50.78%,54,3.83%,265,18.79%,241,1166,3,17.10%,82.70%,0.002,408,390,1187,32.86%
117541,919,4144,State-funded primary,459,207,252,45.10%,54.90%,8,1.74%,44,9.59%,25,434,0,5.40%,94.60%,0,27,27,419,6.44%
117552,919,4499,State-funded secondary,947,449,498,47.41%,52.59%,36,3.80%,237,25.03%,167,772,8,17.60%,81.50%,0.008,302,310,843,36.77%
117554,919,4506,State-funded secondary,485,249,236,51.34%,48.66%,12,2.47%,90,18.56%,15,470,0,3.10%,96.90%,0,75,75,485,15.46%
117555,919,4606,State-funded secondary,756,359,397,47.49%,52.51%,22,2.91%,173,22.88%,152,604,0,20.10%,79.90%,0,176,165,670,24.63%
117559,919,4627,State-funded primary,345,171,174,49.57%,50.43%,6,1.74%,86,24.93%,26,317,2,7.50%,91.90%,0.006,44,44,345,12.75%
117562,919,5202,State-funded primary,246,112,134,45.53%,54.47%,11,4.47%,21,8.54%,101,145,0,41.10%,58.90%,0,98,99,219,45.21%
117563,919,5203,State-funded primary,225,118,107,52.44%,47.56%,4,1.78%,25,11.11%,9,216,0,4.00%,96.00%,0,6,6,207,2.90%
117564,919,5204,State-funded primary,84,44,40,52.38%,47.62%,2,2.38%,15,17.86%,9,75,0,10.70%,89.30%,0,26,26,84,30.95%
117565,919,5205,State-funded primary,438,229,209,52.28%,47.72%,11,2.51%,32,7.31%,22,415,1,5.00%,94.70%,0.002,23,28,406,6.90%
117567,919,5207,State-funded primary,234,117,117,50.00%,50.00%,7,2.99%,26,11.11%,68,165,1,29.10%,70.50%,0.004,39,39,209,18.66%
117569,919,5209,State-funded primary,101,56,45,55.45%,44.55%,3,2.97%,10,9.90%,15,86,0,14.90%,85.10%,0,14,11,95,11.58%
117570,919,5210,State-funded primary,349,164,185,46.99%,53.01%,9,2.58%,33,9.46%,28,321,0,8.00%,92.00%,0,23,23,316,7.28%
117577,919,5405,State-funded secondary,1260,133,1127,10.56%,89.44%,12,0.95%,99,7.86%,94,1165,1,7.50%,92.50%,0.001,66,55,879,6.26%
117578,919,5406,State-funded secondary,1535,798,737,51.99%,48.01%,47,3.06%,213,13.88%,85,1450,0,5.50%,94.50%,0,156,145,1229,11.80%
117600,919,6000,Independent school,423,406,17,95.98%,4.02%,2,0.47%,104,24.59%,,,,,,,,NA,NA,0.00%
117601,919,6002,Independent school,396,136,260,34.34%,65.66%,3,0.76%,81,20.45%,,,,,,,,NA,NA,0.00%
117602,919,6003,Independent school,841,273,568,32.46%,67.54%,6,0.71%,163,19.38%,,,,,,,,NA,NA,0.00%
117604,919,6005,Independent school,1431,621,810,43.40%,56.60%,2,0.14%,353,24.67%,,,,,,,,NA,NA,0.00%
117605,919,6007,Independent school,1245,586,659,47.07%,52.93%,6,0.48%,187,15.02%,,,,,,,,NA,NA,0.00%
117606,919,6012,Independent school,806,493,313,61.17%,38.83%,4,0.50%,155,19.23%,,,,,,,,NA,NA,0.00%
117607,919,6015,Independent school,916,450,466,49.13%,50.87%,1,0.11%,97,10.59%,,,,,,,,NA,NA,0.00%
117608,919,6016,Independent school,368,0,368,0.00%,100.00%,2,0.54%,74,20.11%,,,,,,,,NA,NA,0.00%
117609,919,6020,Independent school,463,463,0,100.00%,0.00%,1,0.22%,159,34.34%,,,,,,,,NA,NA,0.00%
117610,919,6021,Independent school,386,162,224,41.97%,58.03%,0,0.00%,112,29.02%,,,,,,,,NA,NA,0.00%
117611,919,6024,Independent school,189,0,189,0.00%,100.00%,1,0.53%,47,24.87%,,,,,,,,NA,NA,0.00%
117612,919,6028,Independent school,496,202,294,40.73%,59.27%,6,1.21%,199,40.12%,,,,,,,,NA,NA,0.00%
117613,919,6029,Independent school,287,286,1,99.65%,0.35%,4,1.39%,179,62.37%,,,,,,,,NA,NA,0.00%
117615,919,6034,Independent school,266,87,179,32.71%,67.29%,1,0.38%,28,10.53%,,,,,,,,NA,NA,0.00%
117616,919,6036,Independent school,959,0,959,0.00%,100.00%,2,0.21%,154,16.06%,,,,,,,,NA,NA,0.00%
117617,919,6038,Independent school,1128,1128,0,100.00%,0.00%,1,0.09%,143,12.68%,,,,,,,,NA,NA,0.00%
117618,919,6041,Independent school,333,254,79,76.28%,23.72%,0,0.00%,163,48.95%,,,,,,,,NA,NA,0.00%
117620,919,6045,Independent school,478,187,291,39.12%,60.88%,0,0.00%,92,19.25%,,,,,,,,NA,NA,0.00%
117621,919,6046,Independent school,505,224,281,44.36%,55.64%,2,0.40%,72,14.26%,,,,,,,,NA,NA,0.00%
117622,919,6047,Independent school,467,216,251,46.25%,53.75%,38,8.14%,86,18.42%,,,,,,,,NA,NA,0.00%
117623,919,6062,Independent school,159,52,107,32.70%,67.30%,151,94.97%,7,4.40%,,,,,,,,NA,NA,0.00%
117624,919,6080,Independent school,143,126,17,88.11%,11.89%,1,0.70%,10,6.99%,,,,,,,,NA,NA,0.00%
117627,919,6092,Independent school,136,125,11,91.91%,8.09%,0,0.00%,48,35.29%,,,,,,,,NA,NA,0.00%
117628,919,6098,Independent school,271,139,132,51.29%,48.71%,1,0.37%,18,6.64%,,,,,,,,NA,NA,0.00%
117629,919,6099,Independent school,137,59,78,43.07%,56.93%,9,6.57%,30,21.90%,,,,,,,,NA,NA,0.00%
117630,919,6102,Independent school,414,180,234,43.48%,56.52%,0,0.00%,44,10.63%,,,,,,,,NA,NA,0.00%
117633,919,6115,Independent school,791,317,474,40.08%,59.92%,1,0.13%,115,14.54%,,,,,,,,NA,NA,0.00%
117635,919,6126,Independent school,89,89,0,100.00%,0.00%,0,0.00%,7,7.87%,,,,,,,,NA,NA,0.00%
117636,919,6128,Independent school,360,119,241,33.06%,66.94%,4,1.11%,64,17.78%,,,,,,,,NA,NA,0.00%
117638,919,6136,Independent school,830,128,702,15.42%,84.58%,0,0.00%,358,43.13%,,,,,,,,NA,NA,0.00%
117640,919,6154,Independent school,70,39,31,55.71%,44.29%,2,2.86%,14,20.00%,,,,,,,,NA,NA,0.00%
117641,919,6165,Independent school,928,928,0,100.00%,0.00%,11,1.19%,167,18.00%,,,,,,,,NA,NA,0.00%
117643,919,6201,Independent school,324,0,324,0.00%,100.00%,1,0.31%,40,12.35%,,,,,,,,NA,NA,0.00%
117644,919,6202,Independent school,121,121,0,100.00%,0.00%,2,1.65%,27,22.31%,,,,,,,,NA,NA,0.00%
117646,919,6215,Independent school,55,15,40,27.27%,72.73%,55,100.00%,0,0.00%,,,,,,,,NA,NA,0.00%
117647,919,6220,Independent school,887,59,828,6.65%,93.35%,0,0.00%,234,26.38%,,,,,,,,NA,NA,0.00%
117648,919,6221,Independent school,1457,0,1457,0.00%,100.00%,1,0.07%,245,16.82%,,,,,,,,NA,NA,0.00%
117649,919,6222,Independent school,1132,1132,0,100.00%,0.00%,1,0.09%,150,13.25%,,,,,,,,NA,NA,0.00%
117650,919,6224,Independent school,176,87,89,49.43%,50.57%,1,0.57%,36,20.45%,,,,,,,,NA,NA,0.00%
117651,919,6225,Independent school,365,0,365,0.00%,100.00%,0,0.00%,84,23.01%,,,,,,,,NA,NA,0.00%
117653,919,6227,Independent school,555,284,271,51.17%,48.83%,1,0.18%,106,19.10%,,,,,,,,NA,NA,0.00%
117654,919,6228,Independent school,60,29,31,48.33%,51.67%,2,3.33%,5,8.33%,,,,,,,,NA,NA,0.00%
117657,919,6231,Independent school,446,210,236,47.09%,52.91%,5,1.12%,204,45.74%,,,,,,,,NA,NA,0.00%
117658,919,6232,Independent school,463,228,235,49.24%,50.76%,0,0.00%,35,7.56%,,,,,,,,NA,NA,0.00%
117662,919,6236,Independent school,37,20,17,54.05%,45.95%,1,2.70%,0,0.00%,,,,,,,,NA,NA,0.00%
117665,919,7006,Non-maintained special school,66,19,47,28.79%,71.21%,66,100.00%,0,0.00%,3,60,3,4.50%,90.90%,0.045,26,19,44,43.18%
117667,919,7008,State-funded special school,163,43,120,26.38%,73.62%,163,100.00%,0,0.00%,20,143,0,12.30%,87.70%,0,68,73,163,44.79%
117669,919,7010,State-funded special school,190,51,139,26.84%,73.16%,190,100.00%,0,0.00%,11,179,0,5.80%,94.20%,0,81,87,190,45.79%
117670,919,7011,State-funded special school,129,28,101,21.71%,78.29%,129,100.00%,0,0.00%,21,107,1,16.30%,82.90%,0.008,33,34,129,26.36%
117671,919,7012,State-funded special school,178,57,121,32.02%,67.98%,178,100.00%,0,0.00%,2,176,0,1.10%,98.90%,0,72,74,178,41.57%
117672,919,7013,State-funded special school,128,35,93,27.34%,72.66%,128,100.00%,0,0.00%,15,113,0,11.70%,88.30%,0,49,52,128,40.63%
117674,919,7016,State-funded special school,111,48,63,43.24%,56.76%,111,100.00%,0,0.00%,1,110,0,0.90%,99.10%,0,59,60,111,54.05%
117676,919,7019,State-funded special school,112,37,75,33.04%,66.96%,112,100.00%,0,0.00%,3,109,0,2.70%,97.30%,0,42,42,112,37.50%
117679,919,7022,State-funded special school,129,48,81,37.21%,62.79%,129,100.00%,0,0.00%,6,123,0,4.70%,95.30%,0,50,40,103,38.83%
117680,919,7023,State-funded special school,112,35,77,31.25%,68.75%,112,100.00%,0,0.00%,24,88,0,21.40%,78.60%,0,36,31,99,31.31%
117681,919,7024,State-funded special school,139,47,92,33.81%,66.19%,139,100.00%,0,0.00%,33,106,0,23.70%,76.30%,0,60,54,126,42.86%
117682,919,7025,State-funded special school,125,42,83,33.60%,66.40%,125,100.00%,0,0.00%,20,105,0,16.00%,84.00%,0,45,38,105,36.19%
117683,919,7026,State-funded special school,111,39,72,35.14%,64.86%,111,100.00%,0,0.00%,45,66,0,40.50%,59.50%,0,38,38,102,37.25%
117684,919,7028,State-funded special school,184,60,124,32.61%,67.39%,184,100.00%,0,0.00%,18,166,0,9.80%,90.20%,0,57,57,164,34.76%
117685,919,7032,State-funded special school,153,75,78,49.02%,50.98%,151,98.69%,2,1.31%,134,19,0,87.60%,12.40%,0,50,57,139,41.01%
117686,919,7033,State-funded special school,66,0,66,0.00%,100.00%,66,100.00%,0,0.00%,3,63,0,4.50%,95.50%,0,48,50,66,75.76%
117690,919,7042,State-funded special school,190,60,130,31.58%,68.42%,190,100.00%,0,0.00%,18,172,0,9.50%,90.50%,0,65,59,165,35.76%
117691,919,7043,State-funded special school,37,18,19,48.65%,51.35%,37,100.00%,0,0.00%,4,33,0,10.80%,89.20%,0,10,10,36,27.78%
117692,810,1000,State-funded nursery,146,75,71,51.37%,48.63%,4,2.74%,32,21.92%,38,108,0,26.00%,74.00%,0,8,NA,NA,0.00%
117695,811,1003,State-funded nursery,72,38,34,52.78%,47.22%,1,1.39%,12,16.67%,3,69,0,4.20%,95.80%,0,0,NA,NA,0.00%
117697,812,1007,State-funded nursery,60,27,33,45.00%,55.00%,0,0.00%,0,0.00%,0,60,0,0.00%,100.00%,0,0,NA,NA,0.00%
117698,811,1010,State-funded nursery,103,44,59,42.72%,57.28%,1,0.97%,8,7.77%,11,92,0,10.70%,89.30%,0,0,NA,NA,0.00%
117699,811,1011,State-funded nursery,79,40,39,50.63%,49.37%,0,0.00%,8,10.13%,2,77,0,2.50%,97.50%,0,0,NA,NA,0.00%
117700,812,1012,State-funded nursery,42,22,20,52.38%,47.62%,0,0.00%,0,0.00%,5,37,0,11.90%,88.10%,0,0,NA,NA,0.00%
117725,813,2100,State-funded primary,63,34,29,53.97%,46.03%,1,1.59%,8,12.70%,0,63,0,0.00%,100.00%,0,4,5,56,8.93%
117726,813,2101,State-funded primary,190,101,89,53.16%,46.84%,6,3.16%,50,26.32%,5,185,0,2.60%,97.40%,0,71,73,163,44.79%
117727,813,2105,State-funded primary,259,124,135,47.88%,52.12%,3,1.16%,30,11.58%,9,250,0,3.50%,96.50%,0,34,34,259,13.13%
117728,813,2106,State-funded primary,332,146,186,43.98%,56.02%,11,3.31%,55,16.57%,9,323,0,2.70%,97.30%,0,126,118,304,38.82%
117730,813,2108,State-funded primary,174,85,89,48.85%,51.15%,5,2.87%,24,13.79%,4,170,0,2.30%,97.70%,0,20,20,174,11.49%
117733,812,2113,State-funded primary,309,136,173,44.01%,55.99%,24,7.77%,48,15.53%,28,281,0,9.10%,90.90%,0,132,132,219,60.27%
117736,813,2116,State-funded primary,38,15,23,39.47%,60.53%,2,5.26%,10,26.32%,1,37,0,2.60%,97.40%,0,11,12,36,33.33%
117737,813,2118,State-funded primary,173,90,83,52.02%,47.98%,10,5.78%,30,17.34%,1,172,0,0.60%,99.40%,0,24,24,160,15.00%
117739,813,2121,State-funded primary,196,99,97,50.51%,49.49%,3,1.53%,24,12.24%,4,192,0,2.00%,98.00%,0,30,31,196,15.82%
117740,813,2122,State-funded primary,68,27,41,39.71%,60.29%,2,2.94%,15,22.06%,0,68,0,0.00%,100.00%,0,16,15,63,23.81%
117741,813,2123,State-funded primary,258,146,112,56.59%,43.41%,4,1.55%,35,13.57%,2,256,0,0.80%,99.20%,0,16,16,258,6.20%
117743,813,2125,State-funded primary,116,60,56,51.72%,48.28%,6,5.17%,30,25.86%,2,114,0,1.70%,98.30%,0,51,51,101,50.50%
117747,813,2130,State-funded primary,182,97,85,53.30%,46.70%,4,2.20%,25,13.74%,23,159,0,12.60%,87.40%,0,57,55,159,34.59%
117748,813,2133,State-funded primary,192,96,96,50.00%,50.00%,8,4.17%,28,14.58%,44,148,0,22.90%,77.10%,0,77,73,165,44.24%
117752,813,2138,State-funded primary,81,41,40,50.62%,49.38%,0,0.00%,15,18.52%,0,81,0,0.00%,100.00%,0,6,6,78,7.69%
117753,813,2140,State-funded primary,95,43,52,45.26%,54.74%,1,1.05%,11,11.58%,0,95,0,0.00%,100.00%,0,13,13,95,13.68%
117756,813,2143,State-funded primary,308,146,162,47.40%,52.60%,12,3.90%,39,12.66%,36,270,2,11.70%,87.70%,0.006,130,133,308,43.18%
117768,813,2155,State-funded primary,112,56,56,50.00%,50.00%,5,4.46%,8,7.14%,11,101,0,9.80%,90.20%,0,34,30,92,32.61%
117771,813,2159,State-funded primary,127,64,63,50.39%,49.61%,6,4.72%,24,18.90%,18,109,0,14.20%,85.80%,0,52,52,127,40.94%
117780,813,2173,State-funded primary,208,125,83,60.10%,39.90%,5,2.40%,26,12.50%,6,202,0,2.90%,97.10%,0,19,19,208,9.13%
117781,813,2174,State-funded primary,609,317,292,52.05%,47.95%,12,1.97%,111,18.23%,137,472,0,22.50%,77.50%,0,172,170,574,29.62%
117787,813,2180,State-funded primary,202,101,101,50.00%,50.00%,6,2.97%,30,14.85%,6,196,0,3.00%,97.00%,0,80,81,202,40.10%
117811,813,2567,State-funded primary,420,208,212,49.52%,50.48%,14,3.33%,52,12.38%,38,382,0,9.00%,91.00%,0,69,69,420,16.43%
117812,813,2568,State-funded primary,344,183,161,53.20%,46.80%,12,3.49%,48,13.95%,10,334,0,2.90%,97.10%,0,78,78,344,22.67%
117823,811,2700,State-funded primary,122,62,60,50.82%,49.18%,6,4.92%,25,20.49%,2,120,0,1.60%,98.40%,0,43,43,109,39.45%
117824,811,2701,State-funded primary,58,23,35,39.66%,60.34%,6,10.34%,2,3.45%,0,58,0,0.00%,100.00%,0,5,6,58,10.34%
117825,811,2702,State-funded primary,82,34,48,41.46%,58.54%,1,1.22%,19,23.17%,3,79,0,3.70%,96.30%,0,19,18,72,25.00%
117830,811,2707,State-funded primary,67,34,33,50.75%,49.25%,2,2.99%,10,14.93%,0,67,0,0.00%,100.00%,0,16,16,60,26.67%
117831,811,2708,State-funded primary,144,75,69,52.08%,47.92%,3,2.08%,11,7.64%,0,144,0,0.00%,100.00%,0,21,21,132,15.91%
117832,811,2709,State-funded primary,290,140,150,48.28%,51.72%,15,5.17%,67,23.10%,12,278,0,4.10%,95.90%,0,148,150,290,51.72%
117833,811,2710,State-funded primary,152,77,75,50.66%,49.34%,6,3.95%,33,21.71%,10,142,0,6.60%,93.40%,0,53,53,152,34.87%
117838,811,2715,State-funded primary,127,62,65,48.82%,51.18%,3,2.36%,15,11.81%,4,123,0,3.10%,96.90%,0,28,28,115,24.35%
117839,811,2718,State-funded primary,82,40,42,48.78%,51.22%,5,6.10%,2,2.44%,0,82,0,0.00%,100.00%,0,11,11,68,16.18%
117840,811,2719,State-funded primary,508,253,255,49.80%,50.20%,17,3.35%,90,17.72%,25,483,0,4.90%,95.10%,0,156,157,508,30.91%
117841,811,2720,State-funded primary,115,68,47,59.13%,40.87%,9,7.83%,12,10.43%,0,115,0,0.00%,100.00%,0,7,11,94,11.70%
117842,811,2721,State-funded primary,273,136,137,49.82%,50.18%,24,8.79%,42,15.38%,22,251,0,8.10%,91.90%,0,29,29,273,10.62%
117852,811,2732,State-funded primary,226,90,136,39.82%,60.18%,9,3.98%,28,12.39%,4,222,0,1.80%,98.20%,0,36,36,194,18.56%
117853,811,2733,State-funded primary,475,208,267,43.79%,56.21%,40,8.42%,63,13.26%,9,466,0,1.90%,98.10%,0,105,105,475,22.11%
117855,811,2735,State-funded primary,183,87,96,47.54%,52.46%,4,2.19%,16,8.74%,5,178,0,2.70%,97.30%,0,19,19,183,10.38%
117858,811,2738,State-funded primary,284,139,145,48.94%,51.06%,11,3.87%,46,16.20%,2,282,0,0.70%,99.30%,0,28,28,284,9.86%
117859,811,2739,State-funded primary,91,46,45,50.55%,49.45%,1,1.10%,17,18.68%,0,91,0,0.00%,100.00%,0,3,3,77,3.90%
117860,811,2740,State-funded primary,139,64,75,46.04%,53.96%,13,9.35%,11,7.91%,1,138,0,0.70%,99.30%,0,28,28,139,20.14%
117861,811,2741,State-funded primary,70,36,34,51.43%,48.57%,3,4.29%,9,12.86%,1,69,0,1.40%,98.60%,0,20,20,62,32.26%
117862,811,2742,State-funded primary,54,29,25,53.70%,46.30%,3,5.56%,6,11.11%,0,54,0,0.00%,100.00%,0,13,14,47,29.79%
117864,811,2744,State-funded primary,159,74,85,46.54%,53.46%,7,4.40%,29,18.24%,3,156,0,1.90%,98.10%,0,31,35,159,22.01%
117866,811,2747,State-funded primary,208,93,115,44.71%,55.29%,4,1.92%,16,7.69%,5,203,0,2.40%,97.60%,0,12,12,208,5.77%
117867,811,2748,State-funded primary,99,52,47,52.53%,47.47%,2,2.02%,21,21.21%,0,99,0,0.00%,100.00%,0,20,20,92,21.74%
117868,811,2749,State-funded primary,297,140,157,47.14%,52.86%,8,2.69%,25,8.42%,21,276,0,7.10%,92.90%,0,32,34,297,11.45%
117872,811,2754,State-funded primary,138,61,77,44.20%,55.80%,2,1.45%,19,13.77%,13,125,0,9.40%,90.60%,0,21,21,121,17.36%
117875,811,2757,State-funded primary,233,106,127,45.49%,54.51%,10,4.29%,29,12.45%,20,213,0,8.60%,91.40%,0,56,54,204,26.47%
117878,811,2761,State-funded primary,119,62,57,52.10%,47.90%,5,4.20%,12,10.08%,3,116,0,2.50%,97.50%,0,8,8,119,6.72%
117881,811,2765,State-funded primary,416,203,213,48.80%,51.20%,12,2.88%,29,6.97%,12,404,0,2.90%,97.10%,0,13,14,416,3.37%
117882,811,2766,State-funded primary,63,33,30,52.38%,47.62%,3,4.76%,13,20.63%,0,63,0,0.00%,100.00%,0,25,23,55,41.82%
117883,811,2768,State-funded primary,452,210,242,46.46%,53.54%,9,1.99%,43,9.51%,27,425,0,6.00%,94.00%,0,25,26,416,6.25%
117885,811,2770,State-funded primary,205,94,111,45.85%,54.15%,6,2.93%,26,12.68%,9,196,0,4.40%,95.60%,0,39,40,205,19.51%
117886,811,2771,State-funded primary,401,197,204,49.13%,50.87%,18,4.49%,51,12.72%,13,388,0,3.20%,96.80%,0,84,85,401,21.20%
117888,811,2777,State-funded primary,419,215,204,51.31%,48.69%,15,3.58%,68,16.23%,7,412,0,1.70%,98.30%,0,30,30,419,7.16%
117889,811,2778,State-funded primary,421,187,234,44.42%,55.58%,10,2.38%,41,9.74%,8,406,7,1.90%,96.40%,0.017,36,36,421,8.55%
117891,811,2780,State-funded primary,375,166,209,44.27%,55.73%,17,4.53%,51,13.60%,2,373,0,0.50%,99.50%,0,15,15,332,4.52%
117892,811,2789,State-funded primary,100,58,42,58.00%,42.00%,4,4.00%,11,11.00%,0,100,0,0.00%,100.00%,0,11,11,100,11.00%
117893,811,2790,State-funded primary,39,22,17,56.41%,43.59%,4,10.26%,9,23.08%,0,39,0,0.00%,100.00%,0,12,13,33,39.39%
117894,811,2796,State-funded primary,329,161,168,48.94%,51.06%,15,4.56%,38,11.55%,4,325,0,1.20%,98.80%,0,27,27,303,8.91%
117909,811,2879,State-funded primary,241,113,128,46.89%,53.11%,15,6.22%,74,30.71%,7,234,0,2.90%,97.10%,0,133,122,201,60.70%
117911,811,2881,State-funded primary,389,180,209,46.27%,53.73%,27,6.94%,36,9.25%,8,381,0,2.10%,97.90%,0,46,48,389,12.34%
117912,811,2882,State-funded primary,291,135,156,46.39%,53.61%,8,2.75%,30,10.31%,9,282,0,3.10%,96.90%,0,33,31,240,12.92%
